Time_ps	P1_Polar	P2_Nematic
0.00	0.455949	0.726314
10.00	0.455316	0.724805
20.00	0.455453	0.730127
30.00	0.454959	0.722731
40.00	0.455872	0.727214
50.00	0.456199	0.725161
60.00	0.452131	0.726967
70.00	0.455757	0.729172
80.00	0.454706	0.724381
90.00	0.454658	0.728621
100.00	0.452888	0.726119
110.00	0.454678	0.727956
120.00	0.456106	0.735151
130.00	0.454074	0.726735
140.00	0.456690	0.724685
150.00	0.453245	0.723193
160.00	0.453800	0.728689
170.00	0.452987	0.721775
180.00	0.451779	0.722150
190.00	0.453462	0.728221
200.00	0.456212	0.726575
210.00	0.454377	0.721832
220.00	0.453552	0.724973
230.00	0.453334	0.726243
240.00	0.451163	0.720812
250.00	0.453333	0.723763
260.00	0.451694	0.721099
270.00	0.452432	0.722007
280.00	0.452254	0.720879
290.00	0.453289	0.723111
300.00	0.454176	0.722971
310.00	0.451886	0.717147
320.00	0.450110	0.717597
330.00	0.451480	0.716536
340.00	0.451201	0.718437
350.00	0.450767	0.719174
360.00	0.451084	0.723734
370.00	0.453306	0.727713
380.00	0.451690	0.719507
390.00	0.449529	0.718250
400.00	0.449782	0.716656
410.00	0.452124	0.718764
420.00	0.448567	0.710509
430.00	0.452529	0.721770
440.00	0.453268	0.716854
450.00	0.452121	0.715122
460.00	0.450459	0.709905
470.00	0.449305	0.710160
480.00	0.449849	0.709747
490.00	0.447348	0.700974
500.00	0.449803	0.709610
510.00	0.453037	0.711385
520.00	0.449202	0.707322
530.00	0.449020	0.708343
540.00	0.450704	0.708754
550.00	0.452242	0.709450
560.00	0.449372	0.708085
570.00	0.448960	0.711530
580.00	0.445425	0.704693
590.00	0.450933	0.709491
600.00	0.452033	0.713265
610.00	0.449540	0.712042
620.00	0.451051	0.708045
630.00	0.449755	0.700667
640.00	0.451139	0.708464
650.00	0.450233	0.708947
660.00	0.449650	0.703985
670.00	0.448411	0.710621
680.00	0.452102	0.712510
690.00	0.451415	0.705533
700.00	0.450026	0.711158
710.00	0.449392	0.699961
720.00	0.450870	0.703054
730.00	0.450703	0.709954
740.00	0.452111	0.710380
750.00	0.450742	0.708765
760.00	0.451254	0.710234
770.00	0.452629	0.704791
780.00	0.449891	0.705489
790.00	0.449912	0.698100
800.00	0.451479	0.705047
810.00	0.452013	0.710337
820.00	0.447917	0.700751
830.00	0.449851	0.710974
840.00	0.448877	0.707577
850.00	0.449727	0.713562
860.00	0.452387	0.713805
870.00	0.452164	0.712364
880.00	0.450343	0.714197
890.00	0.449670	0.709638
900.00	0.452533	0.712855
910.00	0.449171	0.712216
920.00	0.448926	0.710753
930.00	0.451005	0.712016
940.00	0.450497	0.708769
950.00	0.449695	0.705893
960.00	0.451569	0.713595
970.00	0.450648	0.709750
980.00	0.449885	0.707208
990.00	0.449715	0.706019
1000.00	0.449969	0.705997
1010.00	0.449330	0.707865
1020.00	0.450362	0.706536
1030.00	0.449245	0.703136
1040.00	0.448851	0.704902
1050.00	0.447230	0.702366
1060.00	0.448161	0.708894
1070.00	0.448450	0.709616
1080.00	0.450585	0.707972
1090.00	0.448463	0.704131
1100.00	0.448712	0.706224
1110.00	0.449203	0.710517
1120.00	0.448657	0.706742
1130.00	0.450663	0.707767
1140.00	0.450343	0.704168
1150.00	0.452446	0.707147
1160.00	0.448096	0.704327
1170.00	0.449789	0.704074
1180.00	0.449871	0.705724
1190.00	0.447804	0.701483
1200.00	0.446388	0.698136
1210.00	0.450068	0.706021
1220.00	0.450596	0.708457
