Time_ps	P1_Polar	P2_Nematic
0.00	0.496445	0.978158
10.00	0.455645	0.775882
20.00	0.454258	0.746079
30.00	0.450583	0.744822
40.00	0.450510	0.753581
50.00	0.453071	0.755701
60.00	0.453933	0.754477
70.00	0.453065	0.764772
80.00	0.453269	0.761278
90.00	0.453644	0.755259
100.00	0.456127	0.763761
110.00	0.450956	0.756068
120.00	0.452559	0.752535
130.00	0.452984	0.752008
140.00	0.450536	0.747846
150.00	0.452480	0.744208
160.00	0.452746	0.744309
170.00	0.450829	0.739325
180.00	0.452966	0.736743
190.00	0.451597	0.735675
200.00	0.454492	0.742008
210.00	0.450523	0.734134
220.00	0.450638	0.730621
230.00	0.450510	0.731039
240.00	0.452387	0.731262
250.00	0.452945	0.732188
260.00	0.456451	0.732935
270.00	0.454535	0.730189
280.00	0.451749	0.725990
290.00	0.452549	0.730076
300.00	0.455622	0.728708
310.00	0.455689	0.730458
320.00	0.453139	0.731295
330.00	0.453927	0.730429
340.00	0.451930	0.729668
350.00	0.453711	0.726973
360.00	0.452350	0.727337
370.00	0.452823	0.724757
380.00	0.454147	0.730259
390.00	0.455153	0.723964
400.00	0.455401	0.729012
410.00	0.453762	0.728626
420.00	0.452795	0.725686
430.00	0.454440	0.722955
440.00	0.455054	0.722393
450.00	0.451906	0.717188
460.00	0.452665	0.720087
470.00	0.451267	0.716478
480.00	0.453053	0.713147
490.00	0.451501	0.718564
500.00	0.451756	0.716595
510.00	0.453526	0.722636
520.00	0.452789	0.719709
530.00	0.450825	0.717212
540.00	0.452521	0.717989
550.00	0.454288	0.720203
560.00	0.452745	0.719648
570.00	0.452585	0.723379
580.00	0.452364	0.721817
590.00	0.453240	0.718731
600.00	0.451836	0.722235
610.00	0.454485	0.719087
620.00	0.455325	0.722919
630.00	0.455032	0.719827
640.00	0.454362	0.717795
650.00	0.452570	0.723635
660.00	0.450497	0.716410
670.00	0.454182	0.724390
680.00	0.453623	0.721442
690.00	0.453646	0.719719
700.00	0.454365	0.720352
710.00	0.456117	0.725223
720.00	0.453808	0.725107
730.00	0.456787	0.730040
740.00	0.456082	0.729165
750.00	0.455270	0.729989
760.00	0.455067	0.726059
770.00	0.456233	0.728260
780.00	0.454228	0.721581
790.00	0.456727	0.728322
800.00	0.455876	0.728686
810.00	0.454578	0.729159
820.00	0.453625	0.723541
830.00	0.456477	0.728320
840.00	0.451701	0.723450
850.00	0.453509	0.726041
860.00	0.454496	0.724402
870.00	0.455682	0.724971
880.00	0.456551	0.726046
890.00	0.453073	0.724706
900.00	0.454558	0.722921
910.00	0.454493	0.724662
920.00	0.455362	0.728585
930.00	0.454354	0.728245
940.00	0.454643	0.728333
950.00	0.453496	0.726301
960.00	0.453837	0.725460
970.00	0.455142	0.723251
980.00	0.456949	0.731973
990.00	0.456360	0.727197
1000.00	0.455950	0.726317
