Time_ps	P1_Polar	P2_Nematic
0.00	0.445264	0.635664
10.00	0.443724	0.635828
20.00	0.443438	0.638708
30.00	0.444928	0.647663
40.00	0.439767	0.636772
50.00	0.443611	0.650306
60.00	0.445302	0.644463
70.00	0.444181	0.643209
80.00	0.444015	0.642953
90.00	0.442552	0.643809
100.00	0.442887	0.644130
110.00	0.444025	0.642849
120.00	0.442836	0.645306
130.00	0.441176	0.641173
140.00	0.444858	0.640971
150.00	0.441366	0.636298
160.00	0.446760	0.642359
170.00	0.444326	0.638397
180.00	0.446401	0.646891
190.00	0.444488	0.644747
200.00	0.444295	0.644586
210.00	0.444965	0.643330
220.00	0.441292	0.640662
230.00	0.444900	0.641972
240.00	0.444117	0.640382
250.00	0.444447	0.638086
260.00	0.446211	0.647889
270.00	0.442977	0.639015
280.00	0.442671	0.632456
290.00	0.445924	0.639086
300.00	0.445075	0.639984
310.00	0.447515	0.649072
320.00	0.444570	0.639806
330.00	0.443352	0.636405
340.00	0.445887	0.644816
350.00	0.445470	0.641973
360.00	0.446496	0.645537
370.00	0.446775	0.644371
380.00	0.444398	0.643611
390.00	0.446467	0.641840
400.00	0.444412	0.638201
410.00	0.446385	0.639347
420.00	0.445217	0.638398
430.00	0.443393	0.637023
440.00	0.443732	0.634765
450.00	0.445287	0.641478
460.00	0.446146	0.640911
470.00	0.448104	0.640513
480.00	0.443639	0.639376
490.00	0.444599	0.636441
500.00	0.445498	0.639916
510.00	0.444234	0.631397
520.00	0.446781	0.643096
530.00	0.447556	0.636954
540.00	0.445898	0.639874
550.00	0.443635	0.638257
560.00	0.445992	0.643912
570.00	0.445224	0.634459
580.00	0.444204	0.639139
590.00	0.445557	0.644838
600.00	0.445753	0.648277
610.00	0.445264	0.644896
620.00	0.446638	0.647267
630.00	0.445813	0.643064
640.00	0.445737	0.644688
650.00	0.444505	0.645678
660.00	0.443532	0.642464
670.00	0.445922	0.643584
680.00	0.444914	0.639784
690.00	0.444517	0.642363
700.00	0.443235	0.644953
710.00	0.443826	0.642938
720.00	0.444959	0.651779
730.00	0.444630	0.644182
740.00	0.446421	0.645943
750.00	0.446722	0.643145
760.00	0.446539	0.652799
770.00	0.442513	0.643487
780.00	0.444208	0.646820
790.00	0.444506	0.646125
800.00	0.446824	0.652590
810.00	0.444991	0.648880
820.00	0.445564	0.646593
830.00	0.446226	0.649201
840.00	0.447734	0.647248
850.00	0.446660	0.647085
860.00	0.446234	0.648394
870.00	0.447798	0.648652
880.00	0.445092	0.646849
890.00	0.446774	0.650591
900.00	0.445455	0.650987
910.00	0.447815	0.649636
920.00	0.445306	0.650207
930.00	0.448276	0.651844
940.00	0.445865	0.648811
950.00	0.448074	0.648716
960.00	0.450134	0.652701
970.00	0.445317	0.649503
980.00	0.448369	0.650452
990.00	0.445402	0.648508
1000.00	0.446278	0.639703
1010.00	0.445344	0.646869
1020.00	0.446018	0.644642
1030.00	0.446675	0.648918
1040.00	0.446032	0.651194
1050.00	0.446412	0.645530
1060.00	0.447745	0.643839
1070.00	0.444408	0.642054
1080.00	0.445504	0.644005
1090.00	0.446971	0.642111
1100.00	0.443863	0.643870
1110.00	0.444833	0.639826
1120.00	0.446085	0.646779
1130.00	0.443270	0.639391
1140.00	0.446036	0.641235
1150.00	0.446958	0.645417
1160.00	0.444497	0.651953
1170.00	0.448558	0.647317
1180.00	0.445255	0.641799
1190.00	0.446795	0.647194
1200.00	0.447589	0.643151
1210.00	0.448536	0.651526
1220.00	0.447015	0.648957
1230.00	0.443543	0.640699
1240.00	0.446753	0.653410
1250.00	0.447280	0.648595
1260.00	0.446190	0.645914
1270.00	0.446174	0.643792
1280.00	0.447799	0.647120
1290.00	0.446123	0.646277
1300.00	0.446848	0.643839
1310.00	0.447075	0.644616
1320.00	0.445256	0.652012
1330.00	0.447426	0.647946
1340.00	0.447460	0.649066
1350.00	0.444749	0.644737
1360.00	0.445708	0.646281
1370.00	0.445059	0.645130
1380.00	0.446898	0.648288
1390.00	0.447314	0.648091
1400.00	0.448494	0.646568
1410.00	0.448434	0.646431
1420.00	0.447432	0.644620
1430.00	0.446890	0.644391
1440.00	0.443237	0.637469
1450.00	0.446083	0.644050
1460.00	0.443158	0.643743
1470.00	0.446818	0.644722
1480.00	0.445987	0.649304
1490.00	0.445975	0.651818
1500.00	0.445504	0.644318
1510.00	0.445648	0.644525
1520.00	0.446486	0.652056
1530.00	0.446364	0.647224
1540.00	0.445896	0.652799
1550.00	0.448970	0.652418
1560.00	0.445377	0.647066
1570.00	0.448105	0.649744
1580.00	0.446340	0.649684
1590.00	0.444398	0.647365
1600.00	0.445665	0.651215
1610.00	0.446776	0.649559
1620.00	0.448497	0.652319
1630.00	0.448143	0.658665
1640.00	0.449615	0.655623
1650.00	0.447867	0.648640
1660.00	0.445015	0.651283
1670.00	0.444557	0.649550
1680.00	0.446092	0.651157
1690.00	0.443394	0.646362
1700.00	0.445260	0.649909
1710.00	0.443801	0.651632
1720.00	0.445575	0.647362
1730.00	0.443832	0.647572
1740.00	0.446058	0.649496
1750.00	0.448345	0.646514
1760.00	0.446818	0.651833
1770.00	0.448185	0.652534
1780.00	0.447214	0.651821
1790.00	0.445112	0.648282
1800.00	0.447074	0.646024
1810.00	0.445240	0.640622
1820.00	0.447555	0.650510
1830.00	0.444110	0.642476
1840.00	0.447544	0.647445
1850.00	0.445883	0.654015
1860.00	0.447943	0.655784
1870.00	0.447957	0.655074
1880.00	0.452273	0.652880
1890.00	0.448698	0.652797
1900.00	0.450106	0.652936
1910.00	0.447756	0.651322
1920.00	0.448065	0.648913
1930.00	0.445198	0.648446
1940.00	0.448224	0.648281
1950.00	0.443833	0.649862
1960.00	0.445916	0.648132
1970.00	0.445441	0.648033
1980.00	0.446555	0.648486
1990.00	0.448513	0.649989
2000.00	0.446520	0.650205
2010.00	0.447896	0.647054
2020.00	0.447126	0.644628
2030.00	0.447386	0.647988
2040.00	0.445612	0.652421
2050.00	0.448822	0.649660
2060.00	0.448512	0.655305
2070.00	0.445737	0.646150
2080.00	0.448310	0.650006
2090.00	0.447934	0.645793
2100.00	0.445165	0.646866
2110.00	0.446415	0.647937
2120.00	0.447334	0.649604
2130.00	0.446565	0.653077
2140.00	0.445206	0.647312
2150.00	0.447864	0.655038
2160.00	0.445876	0.647931
2170.00	0.446330	0.649354
2180.00	0.449658	0.656695
2190.00	0.447644	0.656641
2200.00	0.451260	0.659162
2210.00	0.449361	0.656801
2220.00	0.450721	0.658157
2230.00	0.449744	0.653597
2240.00	0.446564	0.655211
2250.00	0.448856	0.653782
2260.00	0.445948	0.650549
2270.00	0.446866	0.650350
2280.00	0.445280	0.650122
2290.00	0.445908	0.652408
2300.00	0.444185	0.647477
2310.00	0.449206	0.646884
2320.00	0.444586	0.652355
2330.00	0.445852	0.645190
2340.00	0.447275	0.646012
2350.00	0.447442	0.650244
2360.00	0.446786	0.642632
2370.00	0.449578	0.651415
